Phase,Item.Type,Block,Item.Number,Version,Attended.Talker,Attended.Talker_Materials,Attended.Talker_Sound,Attended.Talker_Gender,Attended.Talker_Ear,Unattended.Talker,Unattended.Talker_Materials,Unattended.Talker_Sound,Unattended.Talker_Gender,Unattended.Talker_Ear,Correct.Response,reps,feedback,filename
Exposure,Critical,1,1,Shifted,Parasite,Materials A,S,Male,Right,Ambition,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Ambition.F.L_As.Parasite.M.R.wav
Exposure,Critical,1,2,Shifted,Obscene,Materials A,S,Male,Right,Machinery,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Machinery.F.L_As.Obscene.M.R.wav
Exposure,Critical,1,3,Shifted,Medicine,Materials A,S,Male,Right,Brochure,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Brochure.F.L_As.Medicine.M.R.wav
Exposure,Critical,1,4,Shifted,Tennessee,Materials A,S,Male,Right,Official,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Official.F.L_As.Tennessee.M.R.wav
Exposure,Critical,1,5,Shifted,Peninsula,Materials A,S,Male,Right,Crucial,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Crucial.F.L_As.Peninsula.M.R.wav
Exposure,Critical,1,6,Shifted,Hallucinate,Materials A,S,Male,Right,Pediatrician,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Pediatrician.F.L_As.Hallucinate.M.R.wav
Exposure,Critical,1,7,Shifted,Arkansas,Materials A,S,Male,Right,Flourishing,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Flourishing.F.L_As.Arkansas.M.R.wav
Exposure,Critical,1,8,Shifted,Compensate,Materials A,S,Male,Right,Reassure,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Reassure.F.L_As.Compensate.M.R.wav
Exposure,Critical,1,9,Shifted,Dinosaur,Materials A,S,Male,Right,Graduation,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Graduation.F.L_As.Dinosaur.M.R.wav
Exposure,Critical,1,10,Shifted,Rehearsal,Materials A,S,Male,Right,Vacation,Materials A,Sh,Female,Left,Word,1,FALSE,Critical_Ash.Vacation.F.L_As.Rehearsal.M.R.wav
Exposure,Critical,1,11,Unshifted,Initial,Materials B,Sh,Male,Right,Pregnancy,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Pregnancy.F.L_Sh.Initial.M.R.wav
Exposure,Critical,1,12,Unshifted,Beneficial,Materials B,Sh,Male,Right,Democracy,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Democracy.F.L_Sh.Beneficial.M.R.wav
Exposure,Critical,1,13,Unshifted,Negotiate,Materials B,Sh,Male,Right,Embassy,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Embassy.F.L_Sh.Negotiate.M.R.wav
Exposure,Critical,1,14,Unshifted,Commercial,Materials B,Sh,Male,Right,Legacy,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Legacy.F.L_Sh.Commercial.M.R.wav
Exposure,Critical,1,15,Unshifted,Parachute,Materials B,Sh,Male,Right,Reconcile,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Reconcile.F.L_Sh.Parachute.M.R.wav
Exposure,Critical,1,16,Unshifted,Efficient,Materials B,Sh,Male,Right,Personal,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Personal.F.L_Sh.Efficient.M.R.wav
Exposure,Critical,1,17,Unshifted,Publisher,Materials B,Sh,Male,Right,Eraser,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Eraser.F.L_Sh.Publisher.M.R.wav
Exposure,Critical,1,18,Unshifted,Glacier,Materials B,Sh,Male,Right,Episode,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Episode.F.L_Sh.Glacier.M.R.wav
Exposure,Critical,1,19,Unshifted,Refreshing,Materials B,Sh,Male,Right,Literacy,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Literacy.F.L_Sh.Refreshing.M.R.wav
Exposure,Critical,1,20,Unshifted,Impatient,Materials B,Sh,Male,Right,Coliseum,Materials B,S,Female,Left,Word,1,FALSE,Critical_S.Coliseum.F.L_Sh.Impatient.M.R.wav
