workerid,proliferate.condition,speaker_attended_ssh,error
408,Condition.23_F_L_A_Sh_01_B_1_0,normal,
420,Condition.12_F_L_A_S_05_A_1_1,s-like-sh,
405,Condition.41_M_L_A_S_05_A_0_0,sh-like-s,
430,Condition.43_M_L_A_S_05_A_1_0,normal,
419,Condition.24_F_L_A_Sh_01_B_1_1,s-like-sh,
421,Condition.44_M_L_A_S_05_A_1_1,normal,
431,Condition.32_F_L_A_Sh_05_B_1_1,sh-like-s,
423,Condition.30_F_L_A_Sh_05_B_0_1,normal,
415,Condition.5_F_L_A_S_01_B_0_0,s-like-sh,
414,Condition.48_M_L_A_S_05_B_1_1,normal,
